records,avgtime,database
10,2722757.75,mongo
32,5183083.25,mongo
100,109139703.25,mongo
316,29897000.75,mongo
1000,90900099.625,mongo
3162,331520255.75,mongo
10000,1319597713,mongo
31623,4729705182.5,mongo
100000,23816757780,mongo
10,3429270.75,redis
32,3092285.625,redis
100,6511320.875,redis
316,22863581.375,redis
1000,62043724,redis
3162,187194521.5,redis
10000,611866215.5,redis
31623,2495147292.625,redis
100000,6891509063.375,redis
